overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
5.0,True,"08 22, 2013",A34A1UP40713F8,B00009W3I4,{'Style:': ' Dryer Vent'},James. Backus,I like this as a vent as well as something that will keep house warmer in winter.  I sanded it and then painted it the same color as the house.  Looks great.,Great product,1377129600,,
5.0,True,"02 8, 2016",A1AHW6I678O6F2,B00009W3PA,{'Size:': ' 6-Foot'},kevin.,good item,Five Stars,1454889600,,
5.0,True,"08 5, 2015",A8R48NKTGCJDQ,B00009W3PA,{'Size:': ' 6-Foot'},CDBrannom,Fit my new LG dryer perfectly.,Five Stars,1438732800,,
5.0,True,"04 24, 2015",AR3OHHHW01A8E,B00009W3PA,{'Size:': ' 6-Foot'},Calvin E Reames,Good value for electric dryers,Perfect size,1429833600,,
5.0,True,"03 21, 2015",A2CIEGHZ7L1WWR,B00009W3PA,{'Size:': ' 6-Foot'},albert j. kong,Price and delivery was excellent.,Five Stars,1426896000,,
5.0,True,"12 26, 2013",A1RQQV9HYHDHDN,B00009W3PA,{'Size:': ' 6-Foot'},Adam Baer,I purchasaed a new dryer and did not want to reuse the cord from my old unit. This unit installed in a pretty straight forward manor. Quality was as expected. No Complaints,Easy install,1388016000,,
4.0,True,"08 2, 2016",A1OB2H416ARLFJ,B0009GVYNW,,Commando Big,Good value.,Good value for the price.,1470096000,,
2.0,False,"07 6, 2017",A3LGZ8M29PBNGG,B000N6302Q,{'Color:': ' Blue'},nerenttt,works great. we loved ours! till we didn't.  these do not last so buy the warranty as you WILL NEED IT.,"the five star posts are from new owners, the rest from disgruntle owners 6 months in with broken icemaker!",1499299200,,
2.0,False,"07 6, 2017",A3LGZ8M29PBNGG,B000N6302Q,{'Color:': ' Stainless Steel'},nerenttt,"Luved it for the few months it worked!  great little bullet shaped ice cubes. It was a gift for my sister who never opened the box.  The next summer during a heat wave I asked for my unused gift back, ha!, and was in heaven for a few months.  the next summer after a few weeks the unit gave out.called new air and it was over the one year mark so no warranty.  so my advice is do not buy without  extended warranty!",my advice is do not buy without  extended warranty!,1499299200,,
1.0,False,"11 14, 2014",A3SM7H70QI3TY8,B000N6302Q,,SRH,"Be careful, NewAir will not stand by their products. Our NewAir broke within the first 4 hours of use.  The manufacturer will NOT cover the item under warranty. Just in case you're actually thinking of buying a NewAir product... think twice...

From: NewAir Sales <sales@newair.com>
Date: Fri, Nov 14, 2014 at 11:03 AM
Subject: Re: Icemaker return
To: Susan Ferguson <xxxxx@gwmail.gwu.edu>

Hi Susan,

The manufacturer warranty is void if the unit is purchased by a private seller who does not have our consent to sell our products. This is the same reason why we ask for a copy of your receipt upon requesting warranty claims because if it not from a valid authorized dealer we will not proceed with warranty work. We also list our authorized dealers on our web site for customer use. We stand behind our products, however when an item is purchased from a private seller the purchaser runs the risk of the item being used, open box, refurbished, and or a scratch and dent. Our one year limited manufacturer's warranty is only valid on new items sold by our authorized online dealers. It is unfortunate to see that you are in this situation, however you will need to contact the seller of the item for a replacement or refund.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 7:59 PM, Susan Ferguson <xxxxx@gwmail.gwu.edu> wrote:
Hello Mireya-

I'm sorry but I thought the manufacturer warranty was for the manufacturer, NewAir.  Please explain why the warranty is not valid in this case.  I don't see anywhere in the warranty exclusions that the warranty is not valid if not purchased from an authorized dealer.  In addition, a consumer would never know who ""authorized dealers"" are because if a company is selling your product doesn't that implicitly make them authorized to do so?

I sincerely hope that NewAir will reconsider this position and stand by the integrity of their products.  This ice machine was literally used for four hours before failing and it is, quite frankly egregious that your company is negating a warranty that explicitly states it will repair or replace defective materials or workmanship for up to one year.

Please let me know how I can talk to a dispute department regarding this matter.  I look forward to your response and I will refrain from giving any reviews of your product until this matter is resolved.

Thank you,
Susan Ferguson

On Thu, Nov 13, 2014 at 3:10 PM, NewAir Sales <sales@newair.com> wrote:
Hi Susan,

Unfortunately, the ice maker was not purchased from an authorized dealer. You will need to contact the seller ""Mehadrin"" through Amazon for any existing issues on your unit.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 12:32 PM, Susan Ferguson <xxxxxxxxx@gwmail.gwu.edu> wrote:
Hello-  I received an AI-100S icemaker in March 2014.  I used it one time and within 4 hours the cooling unit had shut down.  My best estimate is that the pump was still working (the water was getting pumped through) but the cooling mechanism was not.  When I plugged the unit back in to try it a few hours later, the cooling mechanism never turned on.

Since this product is still under warranty, I am hoping to acquire a new unit since this particular one has essentially never been used and is obviously faulty in some capacity.

I have attached the receipt for your reference.  It was purchased as a gift through Amazon Marketplace.  Thanks so much and I look forward to your response.

Susan Ferguson",NewAir will not stand behind their products - company emails included,1415923200,,
1.0,False,"11 14, 2014",A3SM7H70QI3TY8,B000N6302Q,{'Color:': ' Orange'},SRH,"We would give less than 1 star if possible DONT BUY THIS PRODUCT.  The ice machine stopped working four hours after we used it the first time.  We notified New Air and they stated they would not honor their one year warranty because ""an authorized dealer didn't sell"".  We bought this product on Amazon and never even thought we would have to cross check our purchase with the manufacturer.  NewAir does not stand by their products and they will use any method to get out of honoring their warranty.  I have a $200 piece of junk now, I will NEVER buy another NewAir product again.","WHAT A PIECE OF JUNK, NewAir doesn't stand by their products!",1415923200,,
1.0,False,"11 14, 2014",A3SM7H70QI3TY8,B000N6302Q,{'Color:': ' Stainless Steel'},SRH,"Be careful, NewAir will not stand by their products. Our NewAir broke within the first 4 hours of use.  The manufacturer will NOT cover the item under warranty. Just in case you're actually thinking of buying a NewAir product... think twice...

From: NewAir Sales <sales@newair.com>
Date: Fri, Nov 14, 2014 at 11:03 AM
Subject: Re: Icemaker return
To: Susan Ferguson <xxxxx@gwmail.gwu.edu>

Hi Susan,

The manufacturer warranty is void if the unit is purchased by a private seller who does not have our consent to sell our products. This is the same reason why we ask for a copy of your receipt upon requesting warranty claims because if it not from a valid authorized dealer we will not proceed with warranty work. We also list our authorized dealers on our web site for customer use. We stand behind our products, however when an item is purchased from a private seller the purchaser runs the risk of the item being used, open box, refurbished, and or a scratch and dent. Our one year limited manufacturer's warranty is only valid on new items sold by our authorized online dealers. It is unfortunate to see that you are in this situation, however you will need to contact the seller of the item for a replacement or refund.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 7:59 PM, Susan Ferguson <xxxxx@gwmail.gwu.edu> wrote:
Hello Mireya-

I'm sorry but I thought the manufacturer warranty was for the manufacturer, NewAir.  Please explain why the warranty is not valid in this case.  I don't see anywhere in the warranty exclusions that the warranty is not valid if not purchased from an authorized dealer.  In addition, a consumer would never know who ""authorized dealers"" are because if a company is selling your product doesn't that implicitly make them authorized to do so?

I sincerely hope that NewAir will reconsider this position and stand by the integrity of their products.  This ice machine was literally used for four hours before failing and it is, quite frankly egregious that your company is negating a warranty that explicitly states it will repair or replace defective materials or workmanship for up to one year.

Please let me know how I can talk to a dispute department regarding this matter.  I look forward to your response and I will refrain from giving any reviews of your product until this matter is resolved.

Thank you,
Susan Ferguson

On Thu, Nov 13, 2014 at 3:10 PM, NewAir Sales <sales@newair.com> wrote:
Hi Susan,

Unfortunately, the ice maker was not purchased from an authorized dealer. You will need to contact the seller ""Mehadrin"" through Amazon for any existing issues on your unit.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 12:32 PM, Susan Ferguson <xxxxxxxxx@gwmail.gwu.edu> wrote:
Hello-  I received an AI-100S icemaker in March 2014.  I used it one time and within 4 hours the cooling unit had shut down.  My best estimate is that the pump was still working (the water was getting pumped through) but the cooling mechanism was not.  When I plugged the unit back in to try it a few hours later, the cooling mechanism never turned on.

Since this product is still under warranty, I am hoping to acquire a new unit since this particular one has essentially never been used and is obviously faulty in some capacity.

I have attached the receipt for your reference.  It was purchased as a gift through Amazon Marketplace.  Thanks so much and I look forward to your response.

Susan Ferguson",NewAir will not stand behind their products - company emails included,1415923200,3,
1.0,False,"11 14, 2014",A3SM7H70QI3TY8,B000N6302Q,{'Color:': ' Blue'},SRH,"We would give less than 1 star if possible DONT BUY THIS PRODUCT.  The ice machine stopped working four hours after we used it the first time.  We notified New Air and they stated they would not honor their one year warranty because ""an authorized dealer didn't sell"".  We bought this product on Amazon and never even thought we would have to cross check our purchase with the manufacturer.  NewAir does not stand by their products and they will use any method to get out of honoring their warranty.  I have a $200 piece of junk now, I will NEVER buy another NewAir product again.",WHAT A PIECE OF JUNK! NewAir doesn't stand by their products!,1415923200,,
1.0,False,"11 14, 2014",A3SM7H70QI3TY8,B000N6302Q,{'Color:': ' Silver'},SRH,"We would give less than 1 star if possible DONT BUY THIS PRODUCT.  The ice machine stopped working four hours after we used it the first time.  We notified New Air and they stated they would not honor their one year warranty because ""an authorized dealer didn't sell"".  We bought this product on Amazon and never even thought we would have to cross check our purchase with the manufacturer.  NewAir does not stand by their products and they will use any method to get out of honoring their warranty.  I have a $200 piece of junk now, I will NEVER buy another NewAir product again.",PIECE OF JUNK and NewAir doesn't stand by their products.,1415923200,,
5.0,True,"04 30, 2016",A3GP2HMB2AFOKF,B000NCTOUM,,Juan,Great product,Five Stars,1461974400,,
5.0,True,"11 11, 2015",AR3OHHHW01A8E,B000NCTOUM,,Calvin E Reames,Did the job for fixing our Maytag dryer,Works on a Maytag also,1447200000,,
2.0,True,"08 24, 2015",AJPRN1TD1A0SD,B000NCTOUM,,transporter,cheap,Two Stars,1440374400,,
5.0,True,"01 7, 2015",A1AJW9DILZFTQI,B000NCTOUM,,Riteway Appliance,Great deal and fast shipping!,Five Stars,1420588800,,
5.0,True,"12 3, 2014",A11SCLK8GDDN3C,B000NCTOUM,,mrclobhead,"All was fine, product was as advertised.",Five Stars,1417564800,,
5.0,True,"11 21, 2014",A1LN48DHHCKLR3,B000NCTOUM,,Ernest Danel,received ok,Five Stars,1416528000,,
4.0,True,"08 30, 2014",A34A1UP40713F8,B000NCTOUM,,James. Backus,A spare thermofuse.  Two years ago my dryer spun but there was no heat.  I got a service tech undid the back and changed it in seconds.  So I decided for the price I ordered a spare just in case.,A spare thermofuse. Two years ago my dryer spun ...,1409356800,,
5.0,True,"12 6, 2012",A3NHUQ33CFH3VM,B000VLI74Y,{'Size:': ' 1'},Greeny,"Since the motor on my humidifier still works, all I had to do was run vinegar through it twice and replace the filter.  It's operating good as new, at least until it doesn't.

The filter is important as it reduces the really fine white dust just as advertised.  There's no way to look at the old used filter to know it should be replaced, but there's no way one of these can be used for two seasons.",Helping get another season out of humidifier,1354752000,7,
2.0,False,"08 5, 2011",A3LGZ8M29PBNGG,B000W3P4AQ,,nerenttt,i cook only once in a blue moon.  i was shocked to see with as little use as this range has had that the grates look like they were under heavy use for years!!!  i called Jenn air and spoke with Adam A.  and they wouldn't exchange them or fix them.  they only offered my 25% off ( which was the same price anyway from the internet).  i can't really compare much else on the range since i haven't used it much and i am  not much of a cook!  the stainless steel does tend to rust and stain.  i got a stainless steel fridge and dishwasher  at the same time  by other brands and those seem to not have the same stainless steel issues.,grate scratches so easily,1312502400,2,
